Target,RF Default ROC-AUC,RF Tuned ROC-AUC,Improvement
NR-AR,0.786,0.816,0.03
NR-AR-LBD,0.849,0.873,0.024
NR-ER,0.717,0.731,0.014
NR-Aromatase,0.821,0.825,0.004
SR-ATAD5,0.854,0.858,0.004
SR-ARE,0.806,0.81,0.004
NR-AhR,0.89,0.891,0.001
NR-ER-LBD,0.807,0.807,0.0
SR-HSE,0.777,0.776,-0.001
NR-PPAR-gamma,0.834,0.83,-0.004
SR-MMP,0.876,0.87,-0.006
SR-p53,0.855,0.844,-0.011
