Target,XGB Default ROC-AUC,XGB Tuned ROC-AUC,Improvement
NR-AR,0.765,0.805,0.04
NR-PPAR-gamma,0.764,0.801,0.037
NR-Aromatase,0.778,0.813,0.035
NR-ER,0.685,0.718,0.033
SR-HSE,0.736,0.759,0.023
SR-p53,0.808,0.828,0.02
SR-ARE,0.771,0.789,0.018
NR-ER-LBD,0.777,0.795,0.018
SR-ATAD5,0.815,0.832,0.017
NR-AR-LBD,0.849,0.86,0.011
NR-AhR,0.872,0.883,0.011
SR-MMP,0.862,0.87,0.008
